name,address,type,number,scheme,id,postal
H BAKERY,"375 BUKIT BATOK STREET 31 #01-128, RIGHT SIDE OF 650375",Snack Bar / Bakery,EESB20240000629,Eating Establishment,8c779c96-d93d-4161-b283-019489a36beb,650375
Ha- Jun Korean,100 NORTH BUONA VISTA ROAD #01-05/07 BUONA VISTA MRT STATION 139345,Restaurant,EERT20230000271,Eating Establishment,f31d1414-64f9-407e-b9bd-673895ffc0e8,139345
Ha-Jun Korean,33 SENGKANG WEST AVENUE #B1-02/03 THE SELETAR MALL 797653,Restaurant,EERN22020013476,Eating Establishment,e002d107-4c84-411a-9d7b-7ca7d0c51a3b,797653
Ha-Jun Korean,3155 COMMONWEALTH AVENUE WEST #04-33 THE CLEMENTI MALL 129588,Restaurant,EERN22020013475,Eating Establishment,e002d107-4c84-411a-9d7b-7ca7d0c51a3b,129588
HA-JUN KOREAN,1 NORTH BUONA VISTA LINK #01-02 139691,Restaurant,EERT20250000298,Eating Establishment,58f3214a-f3a1-4632-bef7-22dda2c530a2,139691
Ha-Jun Korean,90 BRAS BASAH ROAD #B1-29/29A ESPLANADE MRT STATION 189562,Restaurant,EERT20230000476,Eating Establishment,dabbc0a8-0df4-448e-9faa-f69f855d7b55,189562
Ha-Jun Korean,30 RAFFLES PLACE #B1-15 30 RAFFLES PLACE 048622,Restaurant,EERT20240000157,Eating Establishment,dabbc0a8-0df4-448e-9faa-f69f855d7b55,048622
HA... JUN,1 FUSIONOPOLIS WAY #B1-23 CONNEXIS 138632,Restaurant,EERN22010013422,Eating Establishment,5f9be741-0af1-4b3e-8036-9fbd62dd5a59,138632
HA... JUN,16 RAFFLES QUAY #B1-20/21 HONG LEONG BUILDING 048581,Restaurant,EERN22010013421,Eating Establishment,5f9be741-0af1-4b3e-8036-9fbd62dd5a59,048581
HA... JUN,3 GATEWAY DRIVE #B2-K9/K10/K11 WESTGATE 608532,Restaurant,EERN22010013423,Eating Establishment,5f9be741-0af1-4b3e-8036-9fbd62dd5a59,608532
HA... JUN,12 KALLANG AVENUE #01-28/31A APERIA 339511,Restaurant,EERN22010013424,Eating Establishment,5f9be741-0af1-4b3e-8036-9fbd62dd5a59,339511
Hai Ge Ji Hainanese Chicken Rice,783 NORTH BRIDGE ROAD 198751,Restaurant,EERT20240000981,Eating Establishment,109ed962-08ac-406e-95df-1e0be4f0b976,198751
HAI KEE SEAFOOD,500 CLEMENCEAU AVENUE NORTH #01-78 NEWTON FOOD CENTRE 229495,Hawker,EEHK25120000080,Eating Establishment,a93c9964-04ce-4393-911b-70a11ee31f15,229495
HAJI LANE FOOD STATION @ ASIAN MARKET CAFE,2 STAMFORD ROAD #02-00 178882,Food Station,EEDN21060000181,Eating Establishment,74157aac-06bd-4666-9052-d43d6e7168f3,178882
HAJI M.N. SHAHUL HAMEED MARKETING,665 BUFFALO ROAD #01-126/127 ZHUJIAO CENTRE (TEKKA MARKET) 210665,Hawker,EEHK20230000036,Eating Establishment,85e4a3fd-d83a-4eb9-b421-aea67d64f888,210665
Halal Section @ NTUC FAIRPRICE,642 SENJA CLOSE #01-01 670642,Halal Section,EEHS20230000109,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,670642
Halal Section @ NTUC FAIRPRICE,1 PASIR RIS CLOSE #02-127 E!HUB@DOWNTOWN EAST 519599,Central Kitchen,FPCK20220000742,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,519599
Halal Section @ NTUC FAIRPRICE,642 SENJA CLOSE #01-01 670642,Central Kitchen,FPCK20230000108,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,670642
Halal Section @ NTUC FAIRPRICE,8 Changi Business Park Ave 1 #01-51 UE BIZHUB EAST 486018,Halal Section,EECN21070000443,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,486018
Halal Section @ NTUC FAIRPRICE,1 WOODLANDS SQUARE #B1-31/32/33 CAUSEWAY POINT 738099,Central Kitchen,FPCK20220000641,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,738099
Halal Section @ NTUC FAIRPRICE,70 COMPASSVALE BOW #B1-14 544692,Central Kitchen,FPCK20230000315,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,544692
Halal Section @ NTUC FAIRPRICE,277C COMPASSVALE LINK #01-13 ASPELLA 543277,Central Kitchen,FPCK20230000839,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,543277
Halal Section @ NTUC FAIRPRICE,1 PASIR RIS CENTRAL STREET 3 #B1-10 WHITESANDS 518457,Halal Section,EECN21070000431,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,518457
Halal Section @ NTUC FAIRPRICE,900 SOUTH WOODLANDS DRIVE #B1-01 WOODLANDS CIVIC CENTRE 730900,Halal Section,EEHS20230001109,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,730900
Halal Section @ NTUC FAIRPRICE,1 PASIR RIS CENTRAL STREET 3 #B1-10 WHITESANDS 518457,Central Kitchen,FPCK20240000261,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,518457
Halal Section @ NTUC FAIRPRICE,900 SOUTH WOODLANDS DRIVE #B1-01 WOODLANDS CIVIC CENTRE 730900,Central Kitchen,FPCN21070001571,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,730900
Halal Section @ NTUC FAIRPRICE,23 Serangoon Central #03-42 Nex Mall 556083,Halal Section,EECN21070000454,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,556083
Halal Section @ NTUC FAIRPRICE,2 JOO CHIAT ROAD #01-1139 JOO CHIAT COMPLEX 420002,Halal Section,EECX21070000439,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,420002
Halal Section @ NTUC FAIRPRICE,866A TAMPINES STREET 83 #01-01 TAMPINES CENTRAL COMMUNITY COMPLEX 521866,Central Kitchen,FPCK20240000259,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,521866
Halal Section @ NTUC FAIRPRICE,30 SEMBAWANG DRIVE #B1-01/02/03 SUN PLAZA 757713,Halal Section,EECN21070000434,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,757713
Halal Section @ NTUC FAIRPRICE,168 PUNGGOL FIELD RD #03-01 PUNGGOL PLAZA 820168,Halal Section,EECN21070000436,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,820168
Halal Section @ NTUC FAIRPRICE,734 PASIR RIS STREET 72 #01-37 PASIR RIS WEST PLAZA 510734,Central Kitchen,FPCK20220000467,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,510734
Halal Section @ NTUC FAIRPRICE,212 BEDOK NORTH STREET 1 #01-147 460212,Halal Section,EECX21070000444,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,460212
Halal Section @ NTUC FAIRPRICE,21 CHOA CHU KANG NORTH 6 #B1-01-07 YEWTEE POINT 689578,Central Kitchen,FPCK20240001060,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,689578
Halal Section @ NTUC FAIRPRICE,633 TAMPINES NORTH DRIVE 2 #01-01 520633,Central Kitchen,FPCK20240001228,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,520633
Halal Section @ NTUC FAIRPRICE,11 RIVERVALE CRESCENT #03-01 RIVERVALE MALL 545082,Central Kitchen,FPCK20240000663,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,545082
Halal Section @ NTUC FAIRPRICE,131 KILLINEY ROAD #01-01/02 Orchard Grand Court 239571,Central Kitchen,FPCK20240000665,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,239571
Halal Section @ NTUC FAIRPRICE,135 JURONG EAST STREET 13 #01-337 600135,Halal Section,EECN21070000446,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,600135
Halal Section @ NTUC FAIRPRICE,50 Jurong Gateway Road #B1-21/22 Jurong East Mall (JEM) 608549,Halal Section,EECN21070000447,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,608549
Halal Section @ NTUC FAIRPRICE,3 SIMEI STREET 6 #05-01 EASTPOINT MALL 528833,Halal Section,EEHS20230001098,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,528833
Halal Section @ NTUC FAIRPRICE,3 SIMEI STREET 6 #05-01 EASTPOINT MALL 528833,Central Kitchen,FPCK20230001097,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,528833
Halal Section @ NTUC FAIRPRICE,170B SENGKANG EAST DRIVE #01-11 542170,Central Kitchen,FPCK20240001059,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,542170
Halal Section @ NTUC FAIRPRICE,192 LORONG 4 TOA PAYOH #01-672 310192,Central Kitchen,FPCK20220000494,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,310192
Halal Section @ NTUC FAIRPRICE,500 LORONG 6 TOA PAYOH HDB HUB 310500,Central Kitchen,FPCK20220000726,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,310500
Halal Section @ NTUC FAIRPRICE,133 NEW BRIDGE ROAD #B1-01 CHINATOWN POINT 059413,Central Kitchen,FPCK20250000646,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,059413
Halal Section @ NTUC FAIRPRICE,4 Tampines central 5 #B1-12 tampines mall 529510,Halal Section,EECN21070000432,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,529510
Halal Section @ NTUC FAIRPRICE,63 JURONG WEST CENTRAL 3 #03-01 JURONG POINT SHOPPING CENTRE 648331,Halal Section,EECN21070000438,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,648331
Halal Section @ NTUC FAIRPRICE,80 MARINE PARADE ROAD #03-28 PARKWAY PARADE 449269,Central Kitchen,FPCN21050001520,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,449269
Halal Section @ NTUC FAIRPRICE,166 BUKIT MERAH CENTRAL #01-3527 BUKIT MERAH AREA OFFICE 150166,Central Kitchen,FPCK20240000038,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,150166
